ieee;nwk;model;device_name;entity_id;entity_name;domain;custom_name
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_start_up_current_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_start_up_color_temperature_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;select.tradfri_bulb_e14_ws_candle_470lm_2_dining_room_new_start_up_behavior_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;select;
8c:65:a3:ff:fe:c8:a4:fd;0xD9A6;TRADFRI bulb E14 WS candle 470lm;Dining room 2 ceiling light bulb TRADFRI;update.dining_room_2_ceiling_light_bulb_ikea_tradfri_e14_470lm_firmware;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;update;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;button.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_identify_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;light.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_light_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_on_off_transition_time_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_on_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_start_up_current_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;number.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_start_up_color_temperature_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;select.tradfri_bulb_e14_ws_candle_470lm_4_dining_room_new_start_up_behavior_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;select;
8c:65:a3:ff:fe:c8:71:fa;0x8D21;TRADFRI bulb E14 WS candle 470lm;Dining room 4 ceiling light bulb TRADFRI;update.dining_room_4_ceiling_light_bulb_ikea_tradfri_e14_470lm_firmware;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;update;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;button.ikea_tradfri_bulb_e14_lumi_2_identify_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;button;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;light.ikea_tradfri_bulb_e14_lumi_2_light_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;light;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;number.ikea_tradfri_bulb_e14_lumi_2_on_off_transition_time_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;number.ikea_tradfri_bulb_e14_lumi_2_on_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
a4:6d:d4:ff:fe:50:55:05;0xF150;TRADFRI bulb E14 WS candle 470lm;Dining room Lumi light 2 TRADFRI;number.ikea_tradfri_bulb_e14_lumi_2_start_up_current_level_6;IKEA of Sweden TRADFRI bulb E14 WS candle 470lm;number;
